key,label,family,group,nc_ungamed,nc_post,nc_ungamed_fold_min,nc_ungamed_fold_max,nc_post_fold_min,nc_post_fold_max,enrollment_share_post
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Non-Hispanic Black,-1.1187611818376724,735.874149098303,-1331.3377497129034,1163.6643606279692,-414.15975175410017,1833.2840636932087,0.9948506521501819
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Non-Hispanic Asian,1216.6297468883745,1678.6953943671024,-28.576107032015685,2171.280501943757,299.4680650887983,2595.980890044001,1.0043419387119856
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Needs ADL or IADL help,-13792.69749968788,-11529.670553460566,-24989.92671108545,-7694.7402886162445,-21925.872258584743,-5706.8499337535495,0.9090109171640568
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Mental health condition,-1567.505521010475,-248.4814851873148,-3276.027289804198,192.27311108710649,-1820.9057358404445,1269.5127458161103,0.9895812471641686
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Age 65 and over,4.998869225410514,1448.4322322111059,-2767.178963859435,2071.7111884558963,-845.9133786037729,3468.271675626447,1.0736688547568332
cms_pen_5,"CMS form, coding-penalized (lambda=5)",penalized,Uninsured all year,1793.1603498571008,2102.9788968238745,477.6792934263031,2628.124457171133,823.5774224569938,2968.2357769929986,1.0578115808825932
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Income below 200% FPL,-145.12554066962275,725.7829565355713,-1762.9441739948838,750.5917934770108,-673.9783720290791,1569.7168665518511,1.0030922001267177
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Hispanic,690.9096566703299,1349.794391288676,-1065.0274200258793,1836.392381492478,-81.76590914422535,2404.0827747955964,1.0012263399735113
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Non-Hispanic Black,105.05140830267686,854.9562797241472,-1232.5306060093653,1258.0282989342536,-166.75237387484037,1897.5182291315912,1.0001843753942674
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Non-Hispanic Asian,1514.920082281475,2001.4427943755957,259.1057266830914,2470.1717772623674,687.6920758006105,2940.2148304261655,1.0158111192219421
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Needs ADL or IADL help,-14740.61309576244,-12612.161774884622,-25811.27324162924,-8464.282633436569,-22888.35494997867,-6772.1165520257555,0.8999765017099691
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Mental health condition,-2495.546997616795,-1296.0713969621077,-4200.864124807157,-687.460106070112,-3011.348322555249,263.5693760776298,0.9637183514248826
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Age 65 and over,5.24160244251866,1523.0019728880804,-2800.8844826423856,2024.4995584078151,-733.8642231992956,3570.830115345208,1.0713375040789404
cms_pen_10,"CMS form, coding-penalized (lambda=10)",penalized,Uninsured all year,2240.2726728729376,2513.745378142297,831.3549225655735,3108.2332969801478,1191.5599808105997,3405.454762680856,1.0815990614507704
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Income below 200% FPL,-181.0932276182062,671.1520430178571,-1789.0520061889274,761.258116433058,-748.034837349032,1522.113410413313,1.010368275634835
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Hispanic,906.2786712243485,1535.6138831133,-852.4135504526004,2054.669212162079,106.527318285605,2595.4689793008097,1.0163720322600909
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Non-Hispanic Black,220.62279941926462,944.7036028102525,-1124.177433341202,1360.1264478178036,-71.11582633976774,1967.1335565268596,1.0113615854038793
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Non-Hispanic Asian,1836.588290426627,2370.266299417463,568.506617596697,2793.822494860348,979.0157492104775,3439.01374061092,1.0255834874720222
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Needs ADL or IADL help,-15748.020962675475,-13732.500855403712,-26753.08965524383,-9281.198203618507,-24289.705699828344,-7646.196578728068,0.8892684306383901
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Mental health condition,-3498.600888253924,-2509.6674268298507,-5204.917422665368,-1638.65397927365,-4351.022540035696,-714.4035708457952,0.9299197493244785
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Age 65 and over,5.648899686392209,1523.35537672034,-2837.5779436471635,1975.407975051934,-723.670519559713,3611.5123064412587,1.0651731317748854
cms_pen_20,"CMS form, coding-penalized (lambda=20)",penalized,Uninsured all year,2725.559469591203,2948.1312928089205,1215.7138027530978,3630.403557080462,1549.5936739546396,3814.6541260393697,1.1233024494173796
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Income below 200% FPL,-218.39586125728755,726.9001845556519,-1816.0348728092,774.2422710811632,-702.1435367172334,1631.1996148897067,1.0150885741752196
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Hispanic,1139.5499454126086,1821.798303373093,-621.9660444469599,2291.677740793094,417.1540817939067,2802.0739333179554,1.0286697687504176
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Non-Hispanic Black,345.9436698171798,1145.253115021289,-1006.2876225349075,1470.3515542471466,119.70838479255775,2165.7429581530077,1.0234348584276334
cms_pen_50,"CMS form, coding-penalized (lambda=50)",penalized,Non-Hispanic Asian,2183.7817631303355,2806.0799835355224,902.5444952789278,3144.5201398754866,1466.445078266167,3848.698406649844,1.035656661430186
